Rectangle,xmin,ymin,xmax,ymax
Rectangle,1690,1690,1694,1678
Rectangle,1690,1690,1694,1678
Rectangle,1688,1691,1710,1677
Rectangle,1688,1691,1710,1677
Rectangle,1696,1690,1701,1678
Rectangle,1696,1690,1701,1678
Rectangle,1704,1690,1709,1678
Rectangle,1704,1690,1709,1678
Rectangle,1690,527,1692,503
Rectangle,1690,527,1692,503
Rectangle,1692,506,1698,503
Rectangle,1692,506,1698,503
Rectangle,1698,504,1703,503
Rectangle,1698,504,1703,503
Rectangle,1700,506,1703,504
Rectangle,1700,506,1703,504
Rectangle,1692,527,1706,526
Rectangle,1692,527,1706,526
Rectangle,1706,527,1707,503
Rectangle,1706,527,1707,503
Rectangle,1690,527,1707,503
Rectangle,1690,527,1707,503
Rectangle,2067,1157,2069,1132
Rectangle,2067,1157,2069,1132
Rectangle,2069,1137,2076,1132
Rectangle,2069,1137,2076,1132
Rectangle,2076,1133,2080,1132
Rectangle,2076,1133,2080,1132
Rectangle,2077,1137,2080,1134
Rectangle,2077,1137,2080,1134
Rectangle,2080,1137,2083,1132
Rectangle,2080,1137,2083,1132
Rectangle,2069,1157,2083,1155
Rectangle,2069,1157,2083,1155
Rectangle,2083,1157,2085,1132
Rectangle,2083,1157,2085,1132
Rectangle,2067,1157,2085,1132
Rectangle,2067,1157,2085,1132
Rectangle,2491,2226,2728,2222
Rectangle,2491,2226,2728,2222
Rectangle,2464,2199,2468,1687
Rectangle,2464,2199,2468,1687
Rectangle,2491,1665,2728,1660
Rectangle,2491,1665,2728,1660
Rectangle,2751,2199,2755,1687
Rectangle,2751,2199,2755,1687
Rectangle,2602,1979,2603,1960
Rectangle,2602,1979,2603,1960
Rectangle,2666,1952,2667,1934
Rectangle,2666,1952,2667,1934
Rectangle,2682,2167,2683,2142
Rectangle,2682,2167,2683,2142
Rectangle,0,3536,4999,0
Rectangle,0,3536,4999,0
Rectangle,83,3453,4916,82
Rectangle,83,3453,4916,82
Rectangle,4523,1934,4528,1933
Rectangle,4523,1934,4528,1933
Rectangle,4586,1934,4592,1933
Rectangle,4586,1934,4592,1933
Rectangle,4598,1941,4599,1933
Rectangle,4598,1941,4599,1933
Rectangle,4714,1867,4714,1859
Rectangle,4714,1867,4714,1859
Rectangle,4717,1860,4720,1859
Rectangle,4717,1860,4720,1859
Rectangle,4734,1860,4739,1859
Rectangle,4734,1860,4739,1859
Rectangle,4778,1867,4779,1860
Rectangle,4778,1867,4779,1860
Rectangle,4718,1881,4719,1872
Rectangle,4718,1881,4719,1872
Rectangle,4720,1873,4724,1872
Rectangle,4720,1873,4724,1872
Rectangle,4782,1873,4787,1872
Rectangle,4782,1873,4787,1872
Rectangle,4763,1903,4768,1902
Rectangle,4763,1903,4768,1902
Rectangle,4763,1906,4768,1905
Rectangle,4763,1906,4768,1905
Rectangle,4785,1905,4789,1904
Rectangle,4785,1905,4789,1904
Rectangle,4813,1907,4814,1902
Rectangle,4813,1907,4814,1902
Rectangle,4751,1914,4755,1913
Rectangle,4751,1914,4755,1913
Rectangle,4815,1914,4820,1913
Rectangle,4815,1914,4820,1913
Rectangle,4576,1902,4583,1902
Rectangle,4576,1902,4583,1902
Triangle,xmin,ymin,xmax,ymax
Triangle,1586,2548,1624,2514
Triangle,1586,2548,1624,2514
Triangle,1586,2257,1624,2223
Triangle,1586,2257,1624,2223
Triangle,1586,2870,1625,2837
Triangle,1586,2870,1625,2837
Triangle,495,2314,502,2312
Triangle,495,2314,502,2312
Triangle,599,2314,606,2312
Triangle,599,2314,606,2312
Triangle,548,1662,585,1629
Triangle,548,1662,585,1629
Triangle,736,1662,773,1629
Triangle,736,1662,773,1629
Triangle,4095,1291,4097,1291
Triangle,4095,1291,4097,1291
Triangle,925,1662,963,1629
Triangle,925,1662,963,1629
Triangle,1302,1662,1340,1629
Triangle,1302,1662,1340,1629
Triangle,1491,1662,1529,1629
Triangle,1491,1662,1529,1629
Triangle,1680,1662,1717,1629
Triangle,1680,1662,1717,1629
Triangle,2057,1662,2096,1629
Triangle,2057,1662,2096,1629
Triangle,1113,1662,1152,1629
Triangle,1113,1662,1152,1629
Triangle,1869,1662,1907,1629
Triangle,1869,1662,1907,1629
Triangle,2057,1662,2096,1629
Triangle,2057,1662,2096,1629
Triangle,2246,1662,2284,1629
Triangle,2246,1662,2284,1629
Triangle,2605,1979,2614,1968
Triangle,2605,1979,2614,1968
Triangle,2667,1945,2679,1934
Triangle,2667,1945,2679,1934
Triangle,2688,2167,2698,2153
Triangle,2688,2167,2698,2153
Triangle,2246,1662,2284,1629
Triangle,2246,1662,2284,1629
Triangle,4697,1867,4699,1863
Triangle,4697,1867,4699,1863
Triangle,4702,1881,4707,1872
Triangle,4702,1881,4707,1872
Triangle,4702,1881,4707,1872
Triangle,4702,1881,4707,1872
Triangle,4542,1902,4583,1850
Triangle,4542,1902,4583,1850
Triangle,4551,1916,4554,1913
Triangle,4551,1916,4554,1913
Trial_Pole,xmin,ymin,xmax,ymax
Trial_Pole,1882,1919,1801,1870
Trial_Pole,1598,1636,2733,2801
Trial_Pole,748,787,1801,1870
Trial_Pole,560,598,1801,1870
Trial_Pole,937,975,1801,1870
Trial_Pole,1315,1353,1801,1870
Trial_Pole,1376,1415,1717,1744
Trial_Pole,1559,1575,1687,1727
Trial_Pole,1559,1581,1687,1727
Trial_Pole,1504,1542,1801,1870
Trial_Pole,1559,1581,1687,1727
Trial_Pole,1692,1730,1801,1870
Trial_Pole,2070,2108,1801,1870
Trial_Pole,1126,1164,1801,1870
Trial_Pole,2259,2296,1801,1870
Trial_Pole,4791,4818,1900,1907
Trial_Pole,4801,4822,1902,1907
