Arc,867,1096,915,1048
Arc,867,1096,915,1048
Arc,867,1905,915,1857
Arc,867,1905,915,1857
Arc,972,1905,1020,1880
Arc,972,1905,1020,1880
Arc,972,1073,1020,1048
Arc,972,1073,1020,1048
Arc,915,1063,972,1042
Arc,915,1063,972,1042
Arc,860,1155,881,1096
Arc,860,1155,881,1096
Arc,860,1213,881,1155
Arc,860,1213,881,1155
Arc,860,1271,881,1213
Arc,860,1271,881,1213
Arc,860,1329,881,1271
Arc,860,1329,881,1271
Arc,860,1389,881,1329
Arc,860,1389,881,1329
Arc,860,1447,881,1389
Arc,860,1447,881,1389
Arc,860,1505,881,1447
Arc,860,1505,881,1447
Arc,860,1564,881,1505
Arc,860,1564,881,1505
Arc,860,1622,881,1564
Arc,860,1622,881,1564
Arc,860,1680,881,1622
Arc,860,1680,881,1622
