Arc,xmin,ymin,xmax,ymax
Circle,5692,769,5693,756
Circle,5692,769,5693,756
Circle,5693,770,5698,756
Circle,5693,770,5698,756
Circle,6128,471,6230,459
Circle,6128,471,6230,459
Circle,5964,468,5982,457
Circle,5964,468,5982,457
Circle,6464,227,6473,185
Circle,6464,227,6473,185
Circle,6338,187,6362,173
Circle,6338,187,6362,173
Circle,6365,212,6379,192
Circle,6365,212,6379,192
Circle,6426,168,6445,153
Circle,6426,168,6445,153
Circle,6409,108,6426,94
Circle,6409,108,6426,94
Circle,6442,184,6447,173
Circle,6442,184,6447,173
Circle,6423,194,6442,173
Circle,6423,194,6442,173
Circle,5980,93,5987,85
Circle,5980,93,5987,85
Circle,5971,92,5979,85
Circle,5971,92,5979,85
Circle,5972,84,5984,79
Circle,5972,84,5984,79
Circle,5958,97,5970,90
Circle,5958,97,5970,90
Circle,5982,117,5993,108
Circle,5982,117,5993,108
Circle,5941,91,5948,84
Circle,5941,91,5948,84
Circle,5949,116,5966,107
Circle,5949,116,5966,107
Circle,5959,146,5969,119
Circle,5959,146,5969,119
Circle,5948,146,5957,118
Circle,5948,146,5957,118
Circle,5802,191,5817,173
Circle,5802,191,5817,173
Circle,5801,213,5816,191
Circle,5801,213,5816,191
Circle,5946,188,5955,172
Circle,5946,188,5955,172
Circle,5926,213,5940,185
Circle,5926,213,5940,185
Circle,5912,227,5946,218
Circle,5912,227,5946,218
Circle,5882,227,5911,218
Circle,5882,227,5911,218
Circle,5913,250,5927,241
Circle,5913,250,5927,241
Circle,5897,250,5912,242
Circle,5897,250,5912,242
Circle,5870,262,5879,218
Circle,5870,262,5879,218
Circle,5848,250,5865,218
Circle,5848,250,5865,218
Circle,5820,189,5834,170
Circle,5820,189,5834,170
Circle,5861,148,5871,115
Circle,5861,148,5871,115
Circle,5882,168,5905,154
Circle,5882,168,5905,154
Circle,5840,166,5859,152
Circle,5840,166,5859,152
Circle,5916,115,5934,105
Circle,5916,115,5934,105
Circle,5888,126,5931,116
Circle,5888,126,5931,116
Circle,5912,138,5931,129
Circle,5912,138,5931,129
Circle,5932,101,5957,92
Circle,5932,101,5957,92
Circle,5932,90,5939,79
Circle,5932,90,5939,79
Circle,5970,158,5981,119
Circle,5970,158,5981,119
Circle,5827,94,5841,48
Circle,5827,94,5841,48
Circle,6156,109,6167,102
Circle,6156,109,6167,102
Circle,6157,91,6172,84
Circle,6157,91,6172,84
Circle,6141,91,6157,83
Circle,6141,91,6157,83
Circle,6141,100,6156,92
Circle,6141,100,6156,92
Circle,6134,90,6141,83
Circle,6134,90,6141,83
Circle,6133,99,6140,91
Circle,6133,99,6140,91
Circle,6069,97,6084,89
Circle,6069,97,6084,89
Circle,6123,100,6132,82
Circle,6123,100,6132,82
Circle,6119,122,6133,113
Circle,6119,122,6133,113
Circle,6126,136,6192,125
Circle,6126,136,6192,125
Circle,6126,158,6146,148
Circle,6126,158,6146,148
Circle,6097,98,6105,81
Circle,6097,98,6105,81
Circle,6128,146,6153,137
Circle,6128,146,6153,137
Circle,6084,88,6095,84
Circle,6084,88,6095,84
Circle,6084,97,6095,89
Circle,6084,97,6095,89
Circle,6054,96,6068,88
Circle,6054,96,6068,88
Circle,6102,157,6125,147
Circle,6102,157,6125,147
Circle,6050,105,6073,97
Circle,6050,105,6073,97
Circle,6030,104,6042,92
Circle,6030,104,6042,92
Circle,6024,103,6033,94
Circle,6024,103,6033,94
Circle,6034,120,6059,110
Circle,6034,120,6059,110
Circle,6011,130,6039,120
Circle,6011,130,6039,120
Circle,6008,209,6019,170
Circle,6008,209,6019,170
Circle,6076,213,6091,182
Circle,6076,213,6091,182
Circle,6020,216,6029,196
Circle,6020,216,6029,196
Circle,6032,196,6042,171
Circle,6032,196,6042,171
Circle,6030,250,6040,218
Circle,6030,250,6040,218
Circle,6046,195,6075,181
Circle,6046,195,6075,181
Circle,5995,252,6004,224
Circle,5995,252,6004,224
Circle,6060,213,6074,198
Circle,6060,213,6074,198
Circle,6006,250,6017,211
Circle,6006,250,6017,211
Circle,6057,227,6089,218
Circle,6057,227,6089,218
Circle,6090,227,6122,218
Circle,6090,227,6122,218
Circle,5978,260,5987,246
Circle,5978,260,5987,246
Circle,5879,283,5908,269
Circle,5879,283,5908,269
Circle,5769,380,5781,370
Circle,5769,380,5781,370
Circle,5969,201,5979,161
Circle,5969,201,5979,161
Circle,5952,433,5987,364
Circle,5952,433,5987,364
Circle,5952,435,5982,365
Circle,5952,435,5982,365
Circle,5936,435,5952,428
Circle,5936,435,5952,428
Circle,5916,434,5935,426
Circle,5916,434,5935,426
Circle,5819,213,5834,189
Circle,5819,213,5834,189
Circle,5958,88,5970,75
Circle,5958,88,5970,75
Circle,5887,138,5912,128
Circle,5887,138,5912,128
Circle,5945,213,5989,202
Circle,5945,213,5989,202
Circle,5890,198,5904,170
Circle,5890,198,5904,170
Circle,6087,332,6093,329
Circle,6087,332,6093,329
Circle,6271,313,6280,279
Circle,6271,313,6280,279
Circle,6225,290,6268,281
Circle,6225,290,6268,281
Circle,6242,302,6268,293
Circle,6242,302,6268,293
Circle,6208,301,6233,293
Circle,6208,301,6233,293
Circle,6206,290,6222,281
Circle,6206,290,6222,281
Circle,6178,290,6206,281
Circle,6178,290,6206,281
Circle,6178,302,6205,293
Circle,6178,302,6205,293
Circle,5856,348,5870,326
Circle,5856,348,5870,326
Circle,5952,299,5970,285
Circle,5952,299,5970,285
Circle,5945,335,5959,321
Circle,5945,335,5959,321
Circle,5913,343,5926,320
Circle,5913,343,5926,320
Circle,5880,302,5893,286
Circle,5880,302,5893,286
Circle,5864,321,5877,303
Circle,5864,321,5877,303
Circle,5847,321,5861,303
Circle,5847,321,5861,303
Circle,5830,305,5844,286
Circle,5830,305,5844,286
Circle,5830,324,5844,306
Circle,5830,324,5844,306
Circle,5880,351,5887,325
Circle,5880,351,5887,325
Circle,6270,353,6280,329
Circle,6270,353,6280,329
Circle,6259,353,6268,330
Circle,6259,353,6268,330
Circle,6258,383,6267,369
Circle,6258,383,6267,369
Circle,6246,388,6256,369
Circle,6246,388,6256,369
Circle,6247,353,6256,330
Circle,6247,353,6256,330
Circle,6235,357,6244,330
Circle,6235,357,6244,330
Circle,6216,347,6230,333
Circle,6216,347,6230,333
Circle,6216,362,6230,347
Circle,6216,362,6230,347
Circle,6200,347,6214,333
Circle,6200,347,6214,333
Circle,6200,363,6214,347
Circle,6200,363,6214,347
Circle,6113,278,6140,269
Circle,6113,278,6140,269
Circle,6156,303,6161,281
Circle,6156,303,6161,281
Circle,6156,333,6161,304
Circle,6156,333,6161,304
Circle,6156,356,6161,334
Circle,6156,356,6161,334
Circle,5830,351,5844,325
Circle,5830,351,5844,325
Circle,5763,300,5777,286
Circle,5763,300,5777,286
Circle,5807,334,5825,320
Circle,5807,334,5825,320
Circle,5801,360,5814,338
Circle,5801,360,5814,338
Circle,5784,367,5798,354
Circle,5784,367,5798,354
Circle,5834,405,5848,383
Circle,5834,405,5848,383
Circle,5818,380,5848,367
Circle,5818,380,5848,367
Circle,5828,363,5848,357
Circle,5828,363,5848,357
Circle,5818,363,5827,338
Circle,5818,363,5827,338
Circle,5868,430,5901,415
Circle,5868,430,5901,415
Circle,5851,375,5865,357
Circle,5851,375,5865,357
Circle,5851,393,5865,375
Circle,5851,393,5865,375
Circle,5868,415,5882,393
Circle,5868,415,5882,393
Circle,5885,419,5898,397
Circle,5885,419,5898,397
Circle,5885,396,5898,374
Circle,5885,396,5898,374
Circle,5919,396,5932,374
Circle,5919,396,5932,374
Circle,5893,370,5911,356
Circle,5893,370,5911,356
Circle,5868,370,5892,356
Circle,5868,370,5892,356
Circle,5902,387,5915,374
Circle,5902,387,5915,374
Circle,5931,370,5949,356
Circle,5931,370,5949,356
Circle,6144,326,6154,281
Circle,6144,326,6154,281
Circle,6059,332,6082,319
Circle,6059,332,6082,319
Circle,6137,360,6142,327
Circle,6137,360,6142,327
Circle,6138,370,6161,359
Circle,6138,370,6161,359
Circle,6120,326,6129,281
Circle,6120,326,6129,281
Circle,6120,360,6129,327
Circle,6120,360,6129,327
Circle,6113,303,6118,281
Circle,6113,303,6118,281
Circle,6113,333,6118,304
Circle,6113,333,6118,304
Circle,6099,313,6108,279
Circle,6099,313,6108,279
Circle,6069,278,6105,269
Circle,6069,278,6105,269
Circle,6217,396,6230,366
Circle,6217,396,6230,366
Circle,6191,379,6215,368
Circle,6191,379,6215,368
Circle,6172,381,6191,370
Circle,6172,381,6191,370
Circle,6052,290,6096,281
Circle,6052,290,6096,281
Circle,6069,313,6096,304
Circle,6069,313,6096,304
Circle,6083,332,6093,319
Circle,6083,332,6093,319
Circle,6094,353,6108,335
Circle,6094,353,6108,335
Circle,6094,374,6108,354
Circle,6094,374,6108,354
Circle,6077,360,6091,348
Circle,6077,360,6091,348
Circle,6042,302,6066,293
Circle,6042,302,6066,293
Circle,6060,362,6074,348
Circle,6060,362,6074,348
Circle,5909,182,5937,155
Circle,5909,182,5937,155
Circle,5891,213,5903,200
Circle,5891,213,5903,200
Circle,5889,195,5897,186
Circle,5889,195,5897,186
Circle,6117,79,6132,51
Circle,6117,79,6132,51
Circle,6080,79,6123,48
Circle,6080,79,6123,48
Circle,6071,77,6081,48
Circle,6071,77,6081,48
Circle,6114,104,6120,100
Circle,6114,104,6120,100
Circle,5998,103,6033,77
Circle,5998,103,6033,77
Circle,6046,213,6060,205
Circle,6046,213,6060,205
Circle,6201,212,6210,196
Circle,6201,212,6210,196
Circle,6267,97,6290,80
Circle,6267,97,6290,80
Circle,6389,110,6406,103
Circle,6389,110,6406,103
Circle,6429,102,6447,94
Circle,6429,102,6447,94
Circle,6445,120,6460,112
Circle,6445,120,6460,112
Circle,6429,120,6444,112
Circle,6429,120,6444,112
Circle,6464,101,6475,94
Circle,6464,101,6475,94
Circle,6447,144,6459,135
Circle,6447,144,6459,135
Circle,6447,156,6474,147
Circle,6447,156,6474,147
Circle,6431,139,6444,133
Circle,6431,139,6444,133
Circle,6425,151,6444,140
Circle,6425,151,6444,140
Circle,6339,102,6353,86
Circle,6339,102,6353,86
Circle,6338,107,6344,102
Circle,6338,107,6344,102
Circle,6408,144,6423,136
Circle,6408,144,6423,136
Circle,6407,133,6425,125
Circle,6407,133,6425,125
Circle,6385,133,6407,125
Circle,6385,133,6407,125
Circle,6359,133,6373,124
Circle,6359,133,6373,124
Circle,6452,207,6461,183
Circle,6452,207,6461,183
Circle,6315,117,6325,107
Circle,6315,117,6325,107
Circle,6350,168,6395,159
Circle,6350,168,6395,159
Circle,6396,156,6423,147
Circle,6396,156,6423,147
Circle,6396,168,6423,159
Circle,6396,168,6423,159
Circle,6452,182,6475,173
Circle,6452,182,6475,173
Circle,6334,250,6367,241
Circle,6334,250,6367,241
Circle,6388,145,6407,136
Circle,6388,145,6407,136
Circle,6235,223,6254,205
Circle,6235,223,6254,205
Circle,6145,212,6175,190
Circle,6145,212,6175,190
Circle,6086,239,6122,230
Circle,6086,239,6122,230
Circle,6091,250,6122,241
Circle,6091,250,6122,241
Circle,6090,262,6124,253
Circle,6090,262,6124,253
Circle,6097,180,6111,161
Circle,6097,180,6111,161
Circle,6113,180,6127,162
Circle,6113,180,6127,162
Circle,6112,195,6126,181
Circle,6112,195,6126,181
Circle,6119,212,6144,198
Circle,6119,212,6144,198
Circle,6125,243,6134,218
Circle,6125,243,6134,218
Circle,6140,262,6149,218
Circle,6140,262,6149,218
Circle,6128,195,6142,181
Circle,6128,195,6142,181
Circle,6146,190,6160,163
Circle,6146,190,6160,163
Circle,6129,181,6143,163
Circle,6129,181,6143,163
Circle,6151,239,6174,230
Circle,6151,239,6174,230
Circle,6151,250,6173,241
Circle,6151,250,6173,241
Circle,6248,205,6257,201
Circle,6248,205,6257,201
Circle,6081,179,6092,161
Circle,6081,179,6092,161
Circle,6207,138,6239,128
Circle,6207,138,6239,128
Circle,6143,109,6155,101
Circle,6143,109,6155,101
Circle,6464,250,6473,228
Circle,6464,250,6473,228
Circle,6452,252,6461,228
Circle,6452,252,6461,228
Circle,6452,227,6461,208
Circle,6452,227,6461,208
Circle,6436,220,6447,197
Circle,6436,220,6447,197
Circle,6436,237,6447,221
Circle,6436,237,6447,221
Circle,6422,237,6433,221
Circle,6422,237,6433,221
Circle,6408,207,6418,183
Circle,6408,207,6418,183
Circle,6396,207,6405,185
Circle,6396,207,6405,185
Circle,6384,227,6393,208
Circle,6384,227,6393,208
Circle,6384,250,6393,228
Circle,6384,250,6393,228
Circle,6407,252,6417,208
Circle,6407,252,6417,208
Circle,6385,182,6398,173
Circle,6385,182,6398,173
Circle,6384,207,6394,185
Circle,6384,207,6394,185
Circle,6366,191,6379,173
Circle,6366,191,6379,173
Circle,6369,260,6379,218
Circle,6369,260,6379,218
Circle,6299,239,6322,230
Circle,6299,239,6322,230
Circle,6299,250,6331,241
Circle,6299,250,6331,241
Circle,6288,259,6297,218
Circle,6288,259,6297,218
Circle,6300,201,6309,170
Circle,6300,201,6309,170
Circle,6323,201,6332,178
Circle,6323,201,6332,178
Circle,6312,177,6321,159
Circle,6312,177,6321,159
Circle,6300,167,6310,136
Circle,6300,167,6310,136
Circle,6320,133,6333,122
Circle,6320,133,6333,122
Circle,6291,94,6326,84
Circle,6291,94,6326,84
