Polyline,X,Y
LINE,267,2382,172,2382
LINE,191,2353,164,2353
LINE,172,2382,172,2387
LINE,200,2344,191,2353
LINE,219,2329,219,2334
LINE,267,2382,267,2370
LINE,262,2370,262,2382
LINE,267,2387,267,2382
LINE,317,2334,317,2329
LINE,320,2334,320,2344
LINE,198,2291,205,2291
LINE,205,2296,198,2296
LINE,205,2291,205,2296
LINE,212,2344,112,2344
LINE,212,2334,112,2334
LINE,112,2344,112,2334
LINE,205,2329,119,2329
LINE,114,2286,114,2334
LINE,181,2382,143,2382
LINE,143,2382,143,2387
LINE,148,2370,148,2382
LINE,152,2382,152,2372
LINE,119,2329,119,2334
LINE,176,2382,176,2370
LINE,172,2372,172,2382
LINE,181,2387,181,2382
LINE,128,2296,114,2296
LINE,114,2291,128,2291
LINE,128,2291,128,2296
LINE,210,2334,210,2286
LINE,205,2334,205,2329
LINE,212,2334,212,2344
LINE,221,2386,162,2386
LINE,221,2397,162,2397
LINE,221,2386,162,2386
LINE,221,2397,162,2397
LINE,162,2392,162,2442
LINE,168,2392,162,2392
LINE,162,2392,162,2248
LINE,168,2248,168,2392
LINE,449,2392,449,2248
LINE,443,2248,443,2392
LINE,443,2392,449,2392
LINE,506,2365,506,2392
LINE,162,2383,506,2383
LINE,162,2374,506,2374
LINE,162,2365,162,2392
LINE,506,2365,506,2392
LINE,162,2383,506,2383
LINE,162,2374,506,2374
LINE,162,2365,162,2392
LINE,506,2365,506,2392
LINE,162,2383,506,2383
LINE,162,2374,506,2374
LINE,162,2365,162,2392
LINE,506,2365,506,2392
LINE,162,2383,506,2383
LINE,162,2374,506,2374
LINE,162,2365,162,2392
LINE,262,2365,262,2392
LINE,162,2383,262,2383
LINE,162,2374,262,2374
LINE,162,2365,162,2392
LINE,262,2365,262,2392
LINE,100,2383,262,2383
LINE,100,2374,262,2374
LINE,100,2365,100,2392
LINE,262,2365,262,2392
LINE,-9,2383,262,2383
LINE,-9,2374,262,2374
