Polyline,X,Y
1,736,478
1,736,478
2,736,478
1,594,492
1,594,492
2,500,538
1,594,492
2,500,538
3,474,502
4,594,492
1,500,538
2,474,502
3,477,540
4,500,538
1,474,502
2,477,540
3,452,504
4,474,502
1,477,540
2,452,504
3,358,549
4,477,540
1,452,504
2,358,549
3,332,513
4,452,504
1,358,549
2,332,513
3,335,551
4,358,549
1,332,513
2,335,551
3,310,515
4,332,513
1,228,521
2,310,515
3,228,554
4,228,521
1,310,515
2,228,554
3,335,551
4,310,515
1,228,554
2,335,551
3,228,559
4,228,554
1,904,500
2,912,553
3,875,503
4,904,500
1,912,553
2,875,503
3,798,565
4,912,553
1,875,503
2,798,565
3,875,503
1,798,565
2,769,568
3,798,565
1,769,568
1,769,568
2,656,578
3,769,568
1,656,578
1,656,578
2,627,581
3,656,578
1,627,581
2,590,530
1,627,581
2,590,530
3,514,591
4,627,581
1,590,530
2,514,591
3,477,540
4,590,530
1,514,591
2,477,540
3,485,593
4,514,591
1,477,540
2,485,593
3,448,542
4,477,540
1,485,593
2,448,542
3,372,602
4,485,593
1,448,542
2,372,602
3,335,551
4,448,542
1,372,602
2,335,551
3,342,605
4,372,602
1,335,551
2,342,605
3,306,553
4,335,551
1,228,611
2,230,613
3,228,559
4,228,611
1,230,613
2,228,559
3,306,553
4,230,613
1,306,553
2,342,605
3,230,613
4,306,553
1,228,613
2,228,611
3,230,613
4,228,613
1,861,83
2,864,120
3,839,85
4,861,83
1,864,120
2,839,85
3,740,132
4,864,120
1,839,85
2,740,132
3,715,97
4,839,85
1,740,132
2,715,97
3,718,135
4,740,132
1,715,97
2,718,135
3,693,99
4,715,97
1,718,135
2,693,99
3,595,146
4,718,135
1,693,99
2,595,146
3,569,111
4,693,99
1,595,146
2,569,111
3,573,148
4,595,146
1,569,111
2,573,148
3,547,112
4,569,111
1,573,148
2,547,112
3,449,159
4,573,148
1,547,112
2,449,159
3,424,123
4,547,112
1,449,159
2,424,123
3,427,161
4,449,159
1,424,123
2,427,161
3,401,125
4,424,123
1,427,161
2,401,125
3,304,171
4,427,161
1,401,125
2,304,171
3,278,135
4,401,125
1,304,171
2,278,135
3,281,172
4,304,171
1,278,135
2,281,172
3,255,136
4,278,135
1,228,138
2,255,136
3,228,149
4,228,138
1,255,136
2,228,149
3,281,172
4,255,136
1,228,149
2,281,172
3,228,176
4,228,149
1,864,120
2,868,157
3,843,122
4,864,120
1,868,157
2,843,122
3,744,170
4,868,157
1,843,122
2,744,170
3,718,135
4,843,122
1,744,170
2,718,135
3,722,172
4,744,170
1,718,135
2,722,172
3,697,137
4,718,135
1,722,172
2,697,137
3,598,184
4,722,172
1,697,137
2,598,184
3,573,148
4,697,137
1,598,184
2,573,148
3,576,186
4,598,184
1,573,148
2,576,186
3,551,150
4,573,148
1,576,186
2,551,150
3,452,196
4,576,186
1,551,150
2,452,196
3,427,161
4,551,150
1,452,196
2,427,161
3,430,198
4,452,196
1,427,161
2,430,198
3,404,163
4,427,161
1,430,198
2,404,163
3,306,208
4,430,198
1,404,163
2,306,208
3,281,172
4,404,163
1,306,208
2,281,172
3,284,210
4,306,208
1,281,172
2,284,210
3,258,174
4,281,172
1,228,176
2,258,174
3,228,188
4,228,176
1,258,174
2,228,188
3,284,210
4,258,174
1,228,188
2,284,210
3,228,214
4,228,188
1,868,157
2,872,195
3,847,159
4,868,157
1,872,195
2,847,159
3,747,207
4,872,195
1,847,159
2,747,207
3,722,172
4,847,159
1,747,207
2,722,172
3,726,210
4,747,207
1,722,172
2,726,210
3,700,174
4,722,172
1,726,210
2,700,174
3,602,221
4,726,210
1,700,174
2,602,221
3,576,186
4,700,174
1,602,221
2,576,186
3,579,223
4,602,221
1,576,186
2,579,223
3,554,187
4,576,186
1,579,223
2,554,187
3,455,234
4,579,223
1,554,187
2,455,234
3,430,198
4,554,187
1,455,234
2,430,198
3,433,236
4,455,234
1,430,198
2,433,236
3,407,200
4,430,198
1,433,236
2,407,200
3,309,246
4,433,236
1,407,200
2,309,246
3,284,210
4,407,200
1,309,246
2,284,210
3,286,247
4,309,246
1,284,210
2,286,247
3,261,212
4,284,210
1,228,214
2,261,212
3,228,227
4,228,214
1,261,212
2,228,227
3,286,247
4,261,212
1,228,227
2,286,247
3,228,252
4,228,227
1,872,195
2,874,216
3,860,196
4,872,195
1,874,216
2,860,196
3,740,230
4,874,216
1,860,196
2,740,230
3,726,210
4,860,196
1,740,230
2,726,210
3,728,231
4,740,230
1,726,210
2,728,231
3,713,211
4,726,210
1,728,231
2,713,211
3,594,243
4,728,231
1,713,211
2,594,243
3,579,223
4,713,211
1,594,243
2,579,223
3,581,245
4,594,243
1,579,223
2,581,245
3,567,224
4,579,223
1,581,245
2,567,224
3,448,256
4,581,245
1,567,224
2,448,256
3,433,236
4,567,224
1,448,256
2,433,236
3,435,257
4,448,256
1,433,236
2,435,257
3,420,237
4,433,236
1,435,257
2,420,237
3,301,268
4,435,257
1,420,237
2,301,268
3,286,247
4,420,237
1,301,268
2,286,247
3,288,269
4,301,268
1,286,247
2,288,269
3,273,248
4,286,247
1,228,252
2,273,248
3,228,260
4,228,252
1,273,248
2,228,260
3,288,269
4,273,248
1,228,260
2,288,269
3,228,273
4,228,260
1,861,83
2,835,47
1,835,47
2,861,83
1,857,45
2,861,83
3,835,47
4,857,45
1,861,83
2,835,47
3,861,83
1,835,47
2,861,83
3,835,47
1,861,83
2,835,47
3,737,95
4,861,83
1,835,47
2,737,95
3,711,60
4,835,47
1,737,95
2,711,60
3,715,97
4,737,95
1,711,60
2,715,97
3,690,62
4,711,60
1,715,97
2,690,62
3,591,109
4,715,97
1,690,62
2,591,109
3,566,73
4,690,62
1,591,109
2,566,73
3,569,111
4,591,109
1,566,73
2,569,111
3,544,75
4,566,73
1,569,111
2,544,75
3,446,121
4,569,111
1,544,75
2,446,121
3,420,86
4,544,75
1,446,121
2,420,86
3,424,123
4,446,121
1,420,86
2,424,123
3,398,88
4,420,86
1,424,123
2,398,88
3,300,133
4,424,123
1,398,88
2,300,133
3,275,97
4,398,88
1,300,133
2,275,97
3,278,135
4,300,133
1,275,97
2,278,135
3,252,99
4,275,97
1,228,101
2,252,99
3,228,110
4,228,101
1,252,99
2,228,110
3,278,135
4,252,99
1,228,110
2,278,135
3,228,138
4,228,110
1,851,37
2,856,37
3,857,45
4,851,37
1,851,37
2,857,45
3,851,37
1,718,37
2,776,37
3,733,57
4,718,37
1,733,57
2,857,45
3,776,37
4,733,57
1,857,45
2,776,37
3,851,37
4,857,45
1,695,37
2,709,37
3,711,60
4,695,37
1,711,60
2,733,57
3,709,37
4,711,60
1,733,57
2,709,37
3,718,37
4,733,57
1,564,37
2,659,37
3,588,71
4,564,37
1,588,71
2,711,60
3,659,37
4,588,71
1,711,60
2,659,37
3,695,37
4,711,60
1,541,37
2,566,73
3,548,37
4,541,37
1,566,73
2,548,37
3,563,37
4,566,73
1,566,73
2,588,71
3,563,37
4,566,73
1,588,71
2,563,37
3,564,37
4,588,71
1,566,73
2,541,37
3,443,84
4,566,73
1,541,37
2,443,84
3,417,48
4,541,37
1,443,84
2,417,48
3,420,86
4,443,84
1,417,48
2,420,86
3,395,50
4,417,48
1,420,86
2,395,50
3,298,95
4,420,86
1,395,50
2,298,95
3,272,60
4,395,50
1,298,95
2,272,60
3,275,97
4,298,95
1,272,60
2,275,97
3,249,61
4,272,60
1,228,63
2,249,61
3,228,71
4,228,63
1,249,61
2,228,71
3,275,97
4,249,61
1,228,71
2,275,97
3,228,101
4,228,71
1,433,37
2,460,37
3,440,46
4,433,37
1,460,37
2,440,46
3,548,37
4,460,37
1,409,37
2,416,37
3,417,48
4,409,37
1,417,48
2,440,46
3,416,37
4,417,48
1,440,46
2,416,37
3,433,37
4,440,46
1,280,37
2,340,37
3,295,58
4,280,37
1,295,58
2,417,48
3,340,37
4,295,58
1,417,48
2,340,37
3,409,37
4,417,48
1,256,37
2,271,37
3,272,60
4,256,37
1,272,60
2,295,58
3,271,37
4,272,60
1,295,58
2,271,37
3,280,37
4,295,58
1,228,63
2,272,60
3,228,37
4,228,63
1,272,60
2,228,37
3,256,37
4,272,60
1,857,45
2,882,80
3,936,37
4,857,45
1,882,80
2,936,37
3,1238,37
4,882,80
1,1238,37
2,1302,37
3,882,80
4,1238,37
1,882,80
2,857,45
1,882,80
2,882,80
3,857,45
4,882,80
1,882,80
2,857,45
3,882,80
1,857,45
2,882,80
3,861,83
4,857,45
1,874,37
2,927,37
3,878,43
4,874,37
1,927,37
2,878,43
3,936,37
4,927,37
1,857,45
2,878,43
3,856,37
4,857,45
1,878,43
2,856,37
3,874,37
4,878,43
1,874,37
2,878,43
3,874,37
1,861,83
2,886,118
3,1302,37
4,861,83
1,886,118
2,1302,37
3,1443,37
4,886,118
1,1443,37
2,1668,37
3,886,118
4,1443,37
1,886,118
2,861,83
1,886,118
2,886,118
3,861,83
4,886,118
1,886,118
2,861,83
3,886,118
1,861,83
2,886,118
3,864,120
4,861,83
1,1863,37
2,1993,37
3,1874,53
4,1863,37
1,1993,37
2,1874,53
3,2034,37
4,1993,37
1,864,120
2,890,155
3,1668,37
4,864,120
1,890,155
2,1668,37
3,1718,37
4,890,155
1,890,155
2,1874,53
3,1718,37
4,890,155
1,1874,53
2,1718,37
3,1863,37
4,1874,53
1,890,155
2,864,120
1,890,155
2,890,155
3,864,120
4,890,155
1,890,155
2,864,120
3,890,155
1,864,120
2,890,155
3,868,157
4,864,120
1,868,157
2,894,193
3,2034,37
4,868,157
1,894,193
2,2034,37
3,2170,37
4,894,193
1,2170,37
2,2400,37
3,894,193
4,2170,37
1,894,193
2,868,157
1,894,193
2,894,193
3,868,157
4,894,193
1,894,193
2,868,157
3,894,193
1,868,157
2,894,193
3,872,195
4,868,157
1,2400,37
2,2610,37
3,872,195
4,2400,37
1,2610,37
2,872,195
3,874,216
4,2610,37
1,2960,60
2,2960,61
3,2960,60
4,2960,60
1,2960,61
2,2960,60
3,2964,98
4,2960,61
1,2960,60
2,2964,98
3,2939,62
4,2960,60
1,2939,62
2,880,275
3,906,310
4,2939,62
1,880,275
2,906,310
3,884,312
4,880,275
1,2939,62
2,2964,98
3,906,310
4,2939,62
1,2960,60
2,880,275
3,2958,39
4,2960,60
1,880,275
2,2958,39
3,878,254
4,880,275
1,2986,311
2,906,526
3,2984,285
4,2986,311
1,906,526
2,2984,285
3,904,500
4,906,526
1,2984,285
2,904,500
3,2980,247
4,2984,285
1,904,500
2,2980,247
3,900,462
4,904,500
1,2980,247
2,900,462
3,2976,210
4,2980,247
1,900,462
2,2976,210
3,896,425
4,900,462
1,2976,210
2,896,425
3,2972,172
4,2976,210
1,896,425
2,2972,172
3,892,387
4,896,425
1,2972,172
2,892,387
3,2968,135
4,2972,172
1,892,387
2,2968,135
3,888,350
4,892,387
1,2968,135
2,888,350
3,2964,98
4,2968,135
1,888,350
2,2964,98
3,884,312
4,888,350
1,3157,37
2,3163,37
3,3159,39
4,3157,37
1,3163,37
2,3159,39
3,3185,37
4,3163,37
1,3135,37
2,3138,37
3,3138,42
4,3135,37
1,3138,42
2,3159,40
3,3138,37
4,3138,42
1,3159,40
2,3138,37
3,3157,37
4,3159,40
1,2958,39
2,2973,59
3,2960,60
4,2958,39
1,2958,39
2,2973,59
3,2976,37
4,2958,39
1,2973,59
2,2976,37
3,3062,37
4,2973,59
1,2973,59
2,3138,42
3,3062,37
4,2973,59
1,3138,42
2,3062,37
3,3135,37
4,3138,42
1,2964,98
2,2960,60
3,3551,37
4,2964,98
1,2960,60
2,3551,37
3,3185,37
4,2960,60
1,2968,135
2,2964,98
3,3870,42
