Polyline,X,Y
551,1783,592,1767
599,1783,619,1767
625,1783,709,1767
1169,1789,1178,1773
1294,1788,1296,1768
1415,1789,1424,1773
1661,1789,1671,1774
1786,1788,1788,1768
1898,1620,1902,1608
1904,1615,1914,1602
1913,1609,1918,1597
1873,1672,1914,1590
1926,1672,2027,1640
1903,1746,1923,1738
1907,1789,1917,1773
2033,1788,2035,1768
2264,1614,2361,1604
2369,1614,2401,1605
2193,1681,2359,1669
2360,1681,2379,1669
2402,1681,2404,1669
2413,1681,2423,1669
2173,1726,2259,1714
2264,1726,2328,1714
2333,1729,2362,1714
2255,1766,2335,1746
2343,1767,2399,1747
