xmin,ymin,xmax,ymax,Text
1,1028,3281
2,1028,3275
3,1024,3275
1,2468,2786
2,2468,2791
3,2471,2791
1,2466,2801
2,2466,2807
3,2469,2807
1,609,1857
2,614,1861
3,616,1857
1,1381,2775
2,1386,2777
3,1388,2773
1,1944,1602
2,1945,1608
3,1948,1607
1,3486,3403
2,3487,3409
3,3490,3409
1,605,1852
2,611,1856
3,612,1853
1,1279,1631
2,1280,1637
3,1283,1637
1,3470,3472
2,3471,3476
1,3467,3476
2,3468,3476
3,3469,3475
4,3471,3475
1,1488,1508
2,1494,1506
3,1488,1510
4,1494,1511
5,1489,1512
1,2299,2327
2,2299,2332
3,2296,2333
4,2295,2332
5,2295,2331
6,2295,2331
7,2295,2330
8,2296,2329
9,2299,2329
1,582,1738
2,582,1732
3,584,1732
4,585,1732
5,586,1732
6,586,1733
7,586,1734
8,586,1735
9,585,1735
10,584,1735
11,582,1735
1,3455,3386
2,3456,3393
3,3453,3393
4,3452,3393
5,3452,3392
6,3452,3391
7,3452,3390
8,3452,3390
9,3453,3389
10,3455,3389
1,1984,3408
2,1977,3409
3,1977,3406
4,1977,3406
5,1977,3405
6,1978,3405
7,1979,3405
8,1980,3405
9,1980,3406
10,1980,3408
1,3887,2902
2,3892,2900
3,3893,2903
4,3893,2904
5,3892,2904
6,3892,2905
7,3892,2905
8,3891,2905
9,3890,2904
10,3890,2903
11,3889,2901
1,3761,2753
2,3766,2752
3,3761,2755
4,3767,2757
5,3761,2758
1,3337,540
2,3331,540
3,3331,538
4,3331,537
5,3332,537
6,3332,536
7,3333,536
8,3334,537
9,3334,537
10,3334,538
11,3334,540
1,1277,1655
2,1271,1656
3,1271,1653
4,1271,1652
5,1272,1651
6,1273,1651
7,1274,1652
8,1274,1653
9,1274,1655
1,594,1867
2,591,1871
3,589,1870
4,589,1869
5,588,1869
6,589,1868
7,589,1867
8,590,1867
9,591,1867
10,593,1869
1,3663,3462
2,3662,3457
3,3666,3456
4,3666,3457
5,3667,3458
6,3667,3458
7,3666,3458
8,3666,3459
9,3666,3459
10,3663,3460
1,3666,3445
2,3666,3439
3,3669,3439
4,3669,3439
5,3669,3439
6,3670,3439
7,3670,3440
8,3669,3441
9,3669,3442
10,3669,3442
11,3666,3442
1,3713,3149
2,3713,3143
3,3715,3143
4,3717,3143
5,3717,3144
6,3717,3145
7,3717,3146
8,3717,3146
9,3716,3146
10,3713,3146
1,3671,3402
2,3671,3396
3,3673,3396
4,3674,3396
5,3675,3396
6,3675,3397
7,3675,3398
8,3674,3399
9,3673,3399
10,3671,3399
1,2325,2068
2,2325,2074
3,2322,2074
4,2322,2074
5,2322,2074
6,2321,2073
7,2322,2072
8,2322,2071
9,2325,2071
1,1946,1578
2,1952,1577
3,1953,1580
4,1953,1581
5,1952,1581
6,1951,1581
7,1951,1581
8,1950,1581
9,1949,1578
1,1849,1570
2,1843,1571
3,1843,1568
4,1843,1568
5,1844,1567
6,1845,1567
7,1846,1567
8,1846,1568
9,1846,1571
1,1028,3290
2,1023,3289
3,1023,3287
4,1023,3286
5,1024,3285
6,1024,3285
7,1025,3286
8,1026,3286
9,1026,3287
10,1026,3289
1,1420,2771
2,1419,2777
3,1417,2776
4,1416,2776
5,1415,2775
6,1415,2774
7,1416,2774
8,1416,2773
9,1417,2773
10,1420,2774
1,2454,2887
2,2421,2900
1,2437,2911
2,2438,2875
1,3984,1653
2,3968,1685
1,3988,1683
2,3965,1655
1,2058,3211
2,2069,3239
3,2072,3209
4,2083,3238
5,2086,3207
1,3864,591
2,3854,556
1,3841,571
2,3877,575
1,3962,1824
2,3995,1838
1,3992,1818
2,3966,1843
1,660,3475
2,630,3472
3,638,3476
1,2253,1785
2,2267,1752
1,2248,1755
2,2272,1782
1,1196,3113
2,1181,3146
1,1200,3143
2,1176,3116
1,2051,3406
2,2019,3391
1,2022,3410
2,2048,3386
1,3753,2732
2,3737,2764
1,3757,2761
2,3733,2734
1,2578,572
2,2611,587
1,2608,567
2,2582,591
1,2300,1627
2,2312,1656
3,2315,1625
4,2325,1653
5,2329,1623
1,4089,605
2,4055,615
1,4070,628
2,4074,592
1,2310,1785
2,2345,1795
1,2339,1775
2,2316,1804
1,1502,300
2,1483,331
1,1503,330
2,1482,301
1,2076,3242
2,2060,3274
1,2080,3271
2,2056,3245
1,3792,2732
2,3764,2743
3,3794,2746
4,3766,2758
5,3796,2760
1,788,3403
2,765,3374
1,759,3393
2,794,3383
1,819,3420
2,788,3417
3,814,3433
4,784,3431
5,811,3447
1,4087,654
2,4059,664
3,4089,668
4,4060,679
5,4091,682
1,2322,1659
2,2307,1692
1,2327,1689
2,2303,1662
1,2806,611
2,2778,623
3,2808,625
4,2780,637
5,2811,639
1,1551,332
2,1544,302
3,1537,332
4,1529,302
5,1523,333
1,629,3455
2,601,3476
1,617,3476
2,611,3449
1,3994,1683
2,3985,1653
3,3980,1683
4,3971,1654
5,3966,1684
1,3501,3003
2,3489,2969
1,3477,2985
2,3513,2987
1,3919,638
2,3889,649
3,3920,653
4,3891,663
5,3922,667
1,1483,1540
2,1468,1573
1,1488,1570
2,1463,1543
1,3975,1854
2,3965,1824
3,3961,1854
4,3951,1825
5,3947,1856
1,2779,602
2,2745,591
1,2750,610
2,2774,583
1,1988,3368
2,2005,3394
3,2002,3363
4,2018,3389
5,2015,3359
1,1467,3153
2,1454,3120
1,1442,3136
2,1478,3136
1,2254,1756
2,2266,1785
3,2269,1754
4,2280,1782
5,2283,1752
1,2556,2849
2,2559,2847
3,2561,2844
4,2562,2839
5,2562,2837
6,2559,2833
7,2556,2830
8,2553,2829
9,2549,2830
10,2546,2831
11,2544,2834
12,2543,2839
13,2544,2842
14,2545,2846
15,2549,2848
16,2552,2850
17,2556,2849
1,3863,677
2,3864,680
3,3867,683
4,3872,683
5,3875,683
6,3879,681
7,3881,677
8,3883,675
9,3882,670
10,3879,668
11,3876,665
12,3873,664
13,3869,665
14,3866,667
15,3863,670
16,3862,674
17,3863,677
1,2232,1777
2,2234,1779
3,2237,1782
4,2242,1782
5,2245,1782
6,2249,1780
7,2251,1776
8,2252,1773
9,2251,1769
10,2250,1767
11,2246,1765
12,2242,1764
13,2239,1764
14,2235,1766
15,2233,1769
16,2232,1772
17,2232,1777
1,3449,2939
2,3446,2940
3,3444,2943
4,3443,2948
5,3444,2951
6,3446,2955
7,3449,2957
8,3452,2958
9,3456,2957
10,3459,2955
11,3462,2952
12,3462,2948
13,3462,2945
14,3460,2941
15,3456,2939
16,3453,2938
17,3449,2939
1,2286,1768
2,2284,1770
3,2282,1773
4,2281,1778
5,2281,1781
6,2283,1785
7,2286,1787
8,2289,1788
9,2293,1788
10,2296,1785
11,2299,1782
12,2299,1778
13,2299,1775
14,2297,1772
15,2294,1768
16,2291,1768
17,2286,1768
1,2024,3380
2,2021,3381
3,2019,3385
4,2019,3389
5,2019,3392
6,2021,3396
7,2024,3398
8,2027,3399
9,2032,3398
10,2034,3396
11,2036,3393
12,2037,3389
13,2036,3386
14,2034,3382
15,2031,3380
16,2028,3379
17,2024,3380
1,3988,1804
2,3985,1805
3,3983,1808
4,3981,1813
5,3981,1815
6,3983,1820
7,3986,1822
8,3989,1824
9,3993,1824
10,3996,1822
11,3999,1819
12,4000,1814
13,4000,1812
14,3998,1808
15,3995,1805
16,3992,1804
17,3988,1804
1,3995,1673
2,3998,1672
3,4001,1669
4,4001,1664
5,4001,1662
6,3999,1657
7,3996,1655
8,3993,1654
9,3989,1654
10,3986,1656
11,3984,1659
12,3983,1663
13,3983,1667
14,3985,1670
15,3988,1673
16,3991,1674
17,3995,1673
1,618,3459
2,618,3462
3,620,3466
4,624,3469
5,627,3470
6,631,3470
7,635,3468
8,637,3465
9,638,3462
10,638,3458
11,636,3455
12,633,3452
13,630,3452
14,625,3452
15,621,3453
16,620,3455
17,618,3459
1,4069,726
2,4066,723
3,4063,721
4,4059,720
5,4057,721
6,4052,723
7,4050,726
8,4049,729
9,4050,733
10,4051,736
11,4054,738
12,4059,739
13,4062,739
14,4066,736
15,4068,733
16,4069,730
17,4069,726
1,811,3432
2,810,3429
3,808,3426
4,804,3423
5,801,3422
6,798,3422
7,794,3424
8,791,3426
9,790,3430
10,791,3433
11,792,3437
12,796,3440
13,799,3441
14,803,3441
15,807,3439
16,809,3436
17,811,3432
1,1387,3049
2,1389,3052
3,1392,3054
4,1397,3055
5,1399,3055
6,1404,3053
7,1406,3050
8,1407,3047
9,1406,3043
10,1405,3040
11,1402,3038
12,1397,3037
13,1395,3037
14,1390,3039
15,1388,3042
16,1387,3045
17,1387,3049
1,2588,641
2,2587,638
3,2584,636
4,2579,635
5,2576,636
6,2572,637
7,2570,641
8,2569,644
9,2570,648
10,2572,651
11,2575,654
12,2579,654
13,2582,654
14,2586,651
15,2588,648
16,2589,645
17,2588,641
1,3753,2752
2,3755,2751
3,3758,2748
4,3759,2743
5,3758,2741
6,3757,2736
7,3754,2734
8,3751,2733
9,3746,2733
10,3744,2735
11,3741,2738
12,3740,2743
13,3741,2745
14,3742,2750
15,3746,2752
16,3748,2753
17,3753,2752
1,4185,536
2,4181,538
3,4179,540
4,4178,545
5,4178,548
6,4179,552
7,4182,555
8,4185,556
9,4189,555
10,4192,554
11,4195,552
12,4196,547
13,4196,544
14,4195,540
15,4191,537
16,4188,535
17,4185,536
1,2483,480
2,2480,482
3,2476,485
4,2476,489
5,2476,492
6,2477,496
7,2480,499
8,2483,500
9,2487,499
10,2490,499
11,2493,496
12,2494,491
13,2494,488
14,2493,484
15,2490,481
16,2486,480
17,2483,480
1,2793,646
2,2792,644
3,2788,641
4,2784,641
5,2781,641
6,2777,643
7,2775,646
8,2774,649
9,2774,654
10,2776,656
11,2779,658
12,2784,659
13,2787,659
14,2791,657
15,2793,654
16,2794,651
17,2793,646
1,1535,281
2,1532,282
3,1530,286
4,1528,290
5,1528,292
6,1530,297
7,1533,299
8,1536,301
9,1540,301
10,1543,299
11,1546,296
12,1547,292
13,1547,289
14,1545,285
15,1542,282
16,1540,281
17,1535,281
1,1241,3074
2,1238,3073
3,1235,3074
4,1231,3077
5,1229,3079
6,1228,3083
