xmin,ymin,xmax,ymax,Text
4,4197,313
1,32,981
2,190,993
3,198,927
1,32,1202
2,152,1211
3,330,1233
4,400,1242
5,505,1262
6,501,1285
1,32,2284
2,36,2285
3,158,2303
4,269,2324
5,325,2335
6,385,2348
7,413,2265
1,669,3476
2,792,2847
3,887,2793
4,2105,3192
5,2254,3476
1,2549,1865
2,2544,1878
3,2070,1716
4,2150,1476
5,1953,1402
6,2096,960
7,2041,854
8,1758,761
9,1738,822
1,2566,1871
2,2559,1895
3,2055,1723
4,2371,765
5,2178,700
6,2086,746
7,1714,622
8,1737,552
1,2564,1871
2,2559,1886
3,2062,1716
4,2444,555
5,2450,557
1,1337,2637
2,1318,2629
3,847,2472
4,860,2434
1,32,364
2,49,365
3,219,376
4,216,399
1,3291,2607
2,3216,2655
3,3195,2718
1,3075,3232
2,3079,3232
3,3077,3235
4,3078,3235
5,3079,3235
6,3079,3236
7,3080,3237
8,3080,3238
9,3079,3239
10,3078,3240
11,3078,3240
12,3076,3240
13,3075,3240
14,3074,3239
15,3074,3238
1,3291,2601
2,3296,2601
3,3294,2604
4,3294,2604
5,3295,2604
6,3296,2605
7,3296,2606
8,3296,2607
9,3296,2608
10,3295,2609
11,3294,2609
12,3293,2609
13,3291,2609
14,3291,2608
15,3291,2607
1,3778,1134
2,3783,1134
3,3781,1137
4,3781,1137
5,3782,1137
6,3783,1138
7,3783,1139
8,3783,1140
9,3783,1141
10,3782,1142
11,3781,1142
12,3780,1142
13,3778,1142
14,3778,1141
15,3777,1140
1,3521,1889
2,3524,1889
3,3522,1892
4,3524,1892
5,3524,1892
6,3524,1893
7,3525,1893
8,3525,1894
9,3524,1896
10,3524,1897
11,3523,1897
12,3521,1897
13,3521,1897
14,3520,1896
15,3520,1895
1,4136,63
2,4140,63
3,4138,66
4,4139,66
5,4140,67
6,4141,68
7,4141,69
8,4140,70
9,4139,71
10,4139,71
11,4137,71
12,4136,71
13,4135,70
14,4135,69
1,3294,2595
2,3298,2595
3,3295,2598
4,3297,2598
5,3298,2599
6,3298,2600
7,3298,2601
8,3298,2602
9,3297,2603
10,3296,2604
11,3294,2604
12,3294,2603
13,3293,2603
14,3293,2602
1,3949,625
2,3954,625
3,3951,628
4,3952,628
5,3953,628
6,3954,629
7,3954,630
8,3954,631
9,3954,632
10,3953,633
11,3951,633
12,3951,633
13,3949,633
14,3949,632
15,3948,631
1,2968,3476
2,3062,3193
3,3063,3192
4,3063,3192
5,3064,3191
6,3065,3190
7,3065,3189
8,3066,3189
9,3067,3188
10,3068,3188
11,3068,3187
12,3069,3187
13,3070,3187
14,3071,3186
15,3071,3186
16,3073,3186
17,3074,3186
