Polyline,X,Y
2,2592,2418
3,2593,2418
4,2593,2419
5,2592,2419
1,2597,2419
2,2596,2419
3,2596,2419
4,2596,2420
5,2596,2420
6,2596,2421
7,2597,2421
8,2597,2421
9,2598,2421
10,2598,2420
11,2598,2420
12,2598,2419
13,2597,2419
14,2597,2419
1,2598,2422
2,2599,2420
3,2600,2420
4,2600,2420
5,2600,2421
6,2600,2421
7,2600,2422
8,2599,2422
9,2598,2421
1,2601,2421
2,2603,2422
3,2603,2421
4,2602,2421
5,2602,2421
6,2601,2421
7,2601,2422
8,2601,2422
9,2602,2422
10,2602,2422
1,2603,2423
2,2603,2421
1,2603,2422
2,2603,2422
3,2604,2422
4,2604,2422
1,2606,2424
2,2607,2422
3,2607,2423
1,2607,2422
2,2606,2422
3,2605,2422
4,2605,2423
5,2605,2423
6,2605,2423
7,2605,2424
8,2606,2424
9,2607,2423
1,2608,2422
2,2608,2424
3,2608,2425
4,2608,2425
1,2608,2423
2,2609,2423
1,2610,2423
2,2610,2423
1,2609,2423
2,2609,2425
1,2611,2424
2,2610,2424
3,2610,2425
4,2610,2425
5,2610,2426
6,2611,2426
7,2611,2426
8,2612,2425
9,2612,2425
10,2611,2425
11,2611,2424
12,2611,2424
1,2612,2426
2,2613,2425
1,2612,2425
2,2613,2425
3,2613,2425
4,2614,2425
5,2614,2426
6,2613,2427
1,2644,799
2,2659,754
3,2676,760
1,2895,17
2,2826,222
3,2272,1887
4,2090,2434
1,2065,2434
2,2235,1925
3,1928,1826
1,2071,2260
2,2071,2260
3,2071,2260
4,2073,2260
1,2071,2258
2,2071,2258
3,2074,2258
1,2075,2254
2,2073,2254
1,2074,2253
2,2074,2254
1,2074,2254
2,2075,2253
1,2074,2252
2,2076,2251
3,2074,2249
1,2077,2247
2,2075,2247
3,2075,2246
4,2076,2245
5,2076,2245
6,2076,2246
7,2076,2247
1,2078,2245
2,2077,2244
3,2077,2245
1,2077,2244
2,2077,2244
1,2077,2242
2,2077,2243
3,2078,2243
4,2078,2243
5,2078,2243
6,2079,2243
7,2079,2242
8,2079,2241
9,2078,2241
10,2078,2241
11,2077,2242
1,2080,2241
2,2078,2240
3,2078,2240
1,2078,2240
2,2078,2240
3,2078,2239
4,2079,2239
5,2079,2239
6,2080,2239
7,2080,2240
8,2080,2240
9,2079,2241
1,2079,2237
2,2079,2238
3,2080,2238
4,2080,2238
5,2081,2238
6,2081,2237
7,2081,2237
8,2080,2237
9,2080,2237
10,2079,2237
1,2080,2234
2,2080,2235
3,2080,2236
4,2080,2236
5,2081,2235
6,2081,2234
7,2081,2234
8,2081,2235
9,2081,2236
10,2081,2236
11,2081,2236
1,2081,2233
2,2081,2232
3,2081,2232
4,2081,2232
5,2081,2232
6,2081,2233
7,2081,2233
8,2081,2234
9,2081,2233
10,2082,2233
11,2082,2233
12,2082,2232
1,2081,2230
2,2083,2230
3,2083,2231
4,2083,2231
5,2082,2231
6,2082,2231
7,2081,2231
8,2081,2231
9,2081,2230
10,2082,2230
11,2082,2230
1,2071,2434
2,2081,2404
3,2083,2398
4,2107,2326
5,2111,2314
6,2147,2207
7,2151,2193
8,2218,1992
9,2222,1981
10,2300,1748
11,2305,1732
12,2377,1515
13,2384,1494
14,2419,1388
15,2428,1360
16,2472,1230
17,2479,1209
18,2565,949
19,2577,914
20,2629,757
21,2631,753
22,2634,743
23,2635,739
24,2651,690
25,2654,683
26,2673,625
27,2714,500
28,2831,151
29,2841,120
30,2848,98
31,2861,59
32,2875,17
1,2464,1263
2,2462,1262
1,2462,1261
2,2463,1263
1,2463,1262
2,2464,1261
1,2462,1260
2,2465,1260
3,2463,1258
4,2465,1258
5,2463,1257
1,2465,1257
2,2463,1256
3,2464,1255
4,2464,1255
5,2465,1255
6,2465,1256
7,2464,1257
1,2465,1256
2,2466,1255
1,2466,1255
2,2464,1254
3,2464,1253
4,2465,1253
5,2465,1253
6,2466,1253
7,2466,1253
8,2466,1253
9,2466,1254
10,2466,1255
1,2466,1251
2,2467,1249
1,2467,1248
2,2466,1248
3,2466,1247
4,2466,1247
5,2467,1247
6,2468,1247
7,2468,1247
8,2468,1249
9,2469,1247
1,2469,1246
2,2467,1246
3,2468,1244
1,2468,1246
2,2469,1244
1,2469,1246
2,2470,1244
1,2468,1243
2,2468,1242
3,2470,1243
1,2469,1241
2,2469,1241
3,2469,1240
4,2471,1241
1,2469,1239
2,2470,1237
3,2471,1239
1,2470,1236
2,2470,1236
3,2471,1237
4,2471,1237
5,2472,1237
6,2472,1237
7,2472,1236
8,2472,1236
9,2472,1235
10,2472,1235
11,2471,1235
12,2471,1235
13,2471,1235
14,2470,1235
15,2470,1236
1,2472,1234
2,2473,1232
1,2474,1232
2,2472,1231
3,2472,1229
4,2472,1229
5,2473,1229
6,2473,1229
7,2473,1229
8,2473,1230
9,2473,1231
1,2475,1229
2,2473,1228
3,2475,1228
4,2473,1226
5,2476,1227
1,2474,1224
2,2474,1225
3,2475,1225
4,2475,1225
5,2476,1226
6,2476,1225
7,2476,1225
8,2476,1224
9,2476,1224
10,2475,1224
11,2475,1224
12,2474,1224
1,2475,1222
2,2475,1222
3,2476,1222
4,2476,1222
5,2476,1221
6,2477,1221
7,2477,1221
8,2477,1222
9,2477,1222
10,2477,1223
11,2476,1223
12,2476,1222
13,2476,1222
14,2476,1221
15,2476,1221
16,2475,1221
17,2475,1221
18,2475,1222
1,2476,1220
2,2476,1218
3,2477,1219
4,2477,1219
5,2477,1219
6,2478,1219
7,2478,1219
8,2478,1220
9,2478,1220
10,2477,1220
1,2477,1218
2,2477,1217
3,2477,1217
4,2477,1216
5,2477,1216
6,2478,1216
7,2478,1217
8,2478,1218
9,2479,1217
1,2478,1215
2,2479,1213
1,2480,1212
2,2478,1212
3,2479,1211
4,2479,1210
5,2479,1210
6,2480,1210
7,2480,1211
8,2479,1212
1,2481,1210
2,2479,1209
1,2480,1207
2,2480,1210
1,2480,1209
2,2482,1208
1,2483,1206
2,2480,1205
3,2481,1207
4,2482,1205
1,2481,1203
2,2481,1204
3,2482,1204
4,2481,1204
5,2482,1204
6,2482,1203
7,2482,1203
8,2483,1203
9,2483,1203
10,2483,1203
11,2483,1204
12,2483,1204
13,2483,1204
1,2482,1201
2,2482,1200
3,2483,1201
4,2483,1200
5,2483,1200
6,2484,1200
7,2484,1200
8,2484,1201
9,2484,1202
10,2484,1202
11,2484,1202
1,2485,1198
2,2483,1198
3,2484,1199
4,2485,1197
1,2459,1259
2,2459,1258
3,2459,1258
4,2462,1259
1,2460,1257
2,2460,1256
3,2460,1256
4,2462,1257
1,2463,1253
2,2461,1252
1,2462,1251
2,2463,1253
1,2463,1252
2,2464,1251
1,2462,1250
2,2464,1250
3,2463,1248
1,2466,1246
2,2464,1245
1,2466,1245
2,2465,1244
3,2465,1244
4,2465,1243
5,2465,1243
6,2466,1243
1,2466,1239
2,2466,1239
3,2466,1240
4,2466,1240
5,2467,1240
6,2468,1240
7,2468,1239
8,2468,1239
9,2468,1238
10,2468,1238
11,2467,1238
12,2466,1238
13,2466,1238
14,2466,1239
1,2467,1237
2,2469,1238
1,2468,1237
2,2468,1236
3,2468,1236
4,2468,1235
5,2469,1236
6,2469,1236
7,2469,1237
